Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/13342-medium_default/masque-en-alliage-de-metal-senoufo-cote-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/12557-medium_default/masque-en-alliage-de-metal-senoufo-cote-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/9938-medium_default/masque-en-alliage-de-metal-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Kulango,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/9754-medium_default/masque-en-alliage-de-metal-kulango-cote-ivoire.jpg,"Les Kulango du nord-est de la Côte d'Ivoire sont connus pour leurs masques anthropomorphes aux traits stylisés, utilisés dans les rituels de protection et les cérémonies funéraires, ainsi que pour leur système social basé sur des lignages patrilinéaires.",Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Senoufo,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/10135-medium_default/masque-en-alliage-de-metal-senoufo-cote-ivoire.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Kulango,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/10133-medium_default/masque-en-alliage-de-metal-kulango-cote-ivoire.jpg,"Les Kulango du nord-est de la Côte d'Ivoire sont connus pour leurs masques anthropomorphes aux traits stylisés, utilisés dans les rituels de protection et les cérémonies funéraires, ainsi que pour leur système social basé sur des lignages patrilinéaires.",Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Kulango,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/10130-medium_default/masque-en-alliage-de-metal-kulango-cote-ivoire.jpg,"Les Kulango du nord-est de la Côte d'Ivoire sont connus pour leurs masques anthropomorphes aux traits stylisés, utilisés dans les rituels de protection et les cérémonies funéraires, ainsi que pour leur système social basé sur des lignages patrilinéaires.",Oval,Large,Thin,Small closed,Linear,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Dioula,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/10128-medium_default/masque-en-alliage-de-metal-dioula-cote-ivoire.jpg,Dioula : Les Dioula d'Afrique de l'Ouest sont connus pour leur rôle historique dans le commerce transsaharien et leur artisanat du tissage.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/10125-medium_default/masque-en-alliage-de-metal-dan-bassa-liberia.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/10123-medium_default/masque-en-alliage-de-metal-bambara-mali.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/10121-medium_default/masque-en-alliage-de-metal-bambara-mali.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/8757-medium_default/masque-bronze-ancien-igbo-isaiah-igbo-ukwu-nigeria.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Tikar,Cameroun,https://www.bruno-mignot.com/galeries/8756-medium_default/masque-bronze-ancien-tikar-cameroun.jpg,Tikar : Les Tikar du Cameroun sont célèbres pour leurs masques royaux et leurs trônes sculptés.,Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Rough,Linear,
"Makonde / Wamakonde",Tanzanie,https://www.bruno-mignot.com/galeries/30468-medium_default/masque-rituel-lipico-makonde-tanzanie-afrique-est.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/30228-medium_default/masque-de-justice-kran-baoule-cote-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/29956-medium_default/masque-du-dama-dogon-mali-masques-africains.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/29942-medium_default/masque-ancien-de-course-gunye-ge-dan-yacouba-liberia.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/29935-medium_default/masque-gunyega-dan-liberia-masques-africains.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/29889-medium_default/masque-agbogho-mmuo-igbo-ibo-nigeria.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
Punu ,Gabon,https://www.bruno-mignot.com/galeries/29750-medium_default/masque-mukuyi-punu-tsangui-gabon.jpg,"Les Punu du Gabon sont célèbres pour leurs masques blancs féminins okuyi, aux traits délicats, utilisés dans les cérémonies funéraires et les danses rituelles.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric,
"Makonde / Wamakonde",Tanzanie,https://www.bruno-mignot.com/galeries/29667-medium_default/masque-casque-rituel-lipico-makonde-tanzanie-afrique-est.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
"Bwa / Bobo Bwa",Burkina Faso,https://www.bruno-mignot.com/galeries/29576-medium_default/masque-forgeron-newenka-bwa-burkina-faso.jpg,"Les Bwa du Burkina Faso et du Mali sont célèbres pour leurs masques en bois ornés de motifs géométriques noirs et blancs, utilisés dans les cérémonies agricoles et d'initiation.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Animal features,Large,Wood,Rough,Geometric,
Hehe,Tanzanie,https://www.bruno-mignot.com/galeries/29341-medium_default/masque-hehe-tanzanie.jpg,Hehe : Les Hehe de Tanzanie sont connus pour leur résistance historique à la colonisation allemande et leurs rituels de passage.,Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/28951-medium_default/masque-zoomorphe-singe-dogon-mali.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/28943-medium_default/masque-mbuya-de-style-katundu-pende-rdc-zaire.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
"Pende / Bapende",RD Congo,https://www.bruno-mignot.com/galeries/28836-medium_default/masque-mbuya-de-style-katundu-pende-rdc-zaire.jpg,"Les Pende de la RDC sont célèbres pour leurs masques mbuya aux expressions dramatiques, utilisés dans les rites de passage et les cérémonies de circoncision.",Oval,Large,Wide,Open,Linear,Elaborate,Natural wood,Beads/cowries,Medium,Wood,Smooth,Linear,
Baoule,Cote d'Ivoire,https://www.bruno-mignot.com/galeries/28828-medium_default/masque-facial-mblo-baoule-cote-d-ivoire.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Sukuma,Tanzanie,https://www.bruno-mignot.com/galeries/28806-medium_default/statue-antropomorphe-sukuma-tanzanie.jpg,Sukuma : Les Sukuma de Tanzanie sont célèbres pour leurs danses rituelles et leur système complexe de sociétés secrètes.,Round,Large,Wide,Full lips,Linear,Elaborate,Earth tones,Beads/cowries,Medium,Wood,Smooth,Linear,
Metoko,RD Congo,https://www.bruno-mignot.com/galeries/28794-medium_default/masque-de-circoncision-kakongo-metoko-rdc-zaire.jpg,Metoko : Les Metoko de la RDC sont réputés pour leurs masques utilisés dans les rites de passage et les cérémonies funéraires.,Oval,Slit,Thin,Small closed,Raised,Absent,Natural wood,None,Medium,Wood,Smooth,Absent,
"Makonde / Wamakonde",Tanzanie,https://www.bruno-mignot.com/galeries/28649-medium_default/masque-casque-rituel-lipico-makonde-tanzanie-afrique-est.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Grebo,Liberia,https://www.bruno-mignot.com/galeries/28233-medium_default/masque-cimier-de-guerre-grebo-liberia.jpg,"Les Grebo du Libéria sont réputés pour leurs masques aux yeux tubulaires, utilisés dans les rituels de protection du village.",Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Makonde / Wamakonde",Tanzanie,https://www.bruno-mignot.com/galeries/28149-medium_default/masque-casque-makonde-tanzanie-afrique-est.jpg,"Les Makonde, présents en Tanzanie et au Mozambique, sont renommés pour leurs sculptures sur bois complexes, en particulier les sculptures de ""l'Arbre de Vie"" qui représentent des figures humaines entrelacées dans une structure en forme de tour.",Elongated,Slit,Absent,Absent,Geometric,Elaborate,Earth tones,None,Medium,Wood,Smooth,Geometric,
Dogon ,Mali,https://www.bruno-mignot.com/galeries/28089-medium_default/casque-en-fer-noir-dogon-mali.jpg,"Le peuple Dogon du Mali est réputé pour sa cosmologie complexe et ses connaissances astronomiques, notamment leur compréhension du système stellaire de Sirius bien avant sa découverte par les astronomes occidentaux.",Rectangular,Small,Beak-like,Closed,Absent,Elaborate,Vibrant,Animal features,Large,Wood,Smooth,Geometric,
Bidjogo,Guinee Bissau,https://www.bruno-mignot.com/galeries/27934-medium_default/masque-taureau-sauvage-essenie-bidjogo-bidyogo-guinee-biss.jpg,Les Bidjogo de Guinée-Bissau sont réputés pour leurs masques-requins utilisés dans les rituels d'initiation.,Rectangular,Small,Absent,Absent,Geometric,Elaborate,Earth tones,None,Large,Wood,Rough,Geometric,
Punu ,Gabon,https://www.bruno-mignot.com/galeries/27672-medium_default/masque-noir-de-justice-ikwara-pounou-tsangui-gabon.jpg,"Les Punu du Gabon sont célèbres pour leurs masques blancs féminins okuyi, aux traits délicats, utilisés dans les cérémonies funéraires et les danses rituelles.",Oval,Large,Wide,Open,Geometric,Elaborate,Earth tones,Symbolic objects,Medium,Wood,Smooth,Geometric,
 Tchokwe,Angola,https://www.bruno-mignot.com/galeries/27679-medium_default/masque-cihongo-chokwe-tschokwe-angola.jpg,"Les Tchokwe, présents en Angola, en RDC et en Zambie, sont célèbres pour leurs masques sculptés et leurs dessins sur sable utilisés dans la narration de contes traditionnels.",Oval,Slit,Thin,Small closed,Geometric,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Geometric,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/27436-medium_default/masque-ceremoniel-du-kore-bambara-bamana-mali.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
"Dan / Yacouba",Liberia,https://www.bruno-mignot.com/galeries/27064-medium_default/masque-feminin-dan-liberia.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Bembe / Babembe,RD Congo,https://www.bruno-mignot.com/galeries/26955-medium_default/masque-facial-bembe-rdc-zaire.jpg,Les Bembe de la République du Congo et de la RDC sont réputés pour leurs petites statues alunga aux bras levés.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Bambara / Bamana,Mali,https://www.bruno-mignot.com/galeries/26898-medium_default/masque-hyene-bambara-mali.jpg,"Les Bambara, prédominants au Mali, sont connus pour leurs masques élaborés utilisés dans les cérémonies d'initiation et leur société N'tomo, qui enseigne aux jeunes garçons des valeurs morales à travers la danse et la musique.",Elongated,Slit,Thin,Absent,Geometric,Elaborate,Natural wood,Animal features,Large,Wood,Smooth,Geometric,
Mossi ,Burkina Faso,https://www.bruno-mignot.com/galeries/26884-medium_default/masque-de-ceremonie-mossi-burkina-faso.jpg,"Les Mossi du Burkina Faso maintiennent une structure sociale hiérarchique complexe, avec le Mogho Naba comme chef suprême traditionnel.",Rectangular,Small,Absent,Absent,Geometric,Elaborate,Vibrant,Symbolic objects,Large,Wood,Rough,Geometric,Rectangular
Igbo ,Nigeria,https://www.bruno-mignot.com/galeries/26862-medium_default/masque-calebasse-en-textile-ibo-igbo-nigeria.jpg,"Le peuple Igbo du sud-est du Nigeria a une cérémonie de passage à l'âge adulte unique appelée ""Iwa Akwa"" où les jeunes hommes prouvent leur force en luttant et en grimpant à de grands poteaux lisses.",Oval,Large,Wide,Open,Tribal-specific,Elaborate,Vibrant,Multiple faces,Medium,Wood,Smooth,Circular,Oval
